,Country,Indicator,Sex,Year,Element,Source,Unit,Value,Flag Description,Continent
383,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,38.1,Figure from international organizations,Europe
384,Georgia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,41.1,Figure from international organizations,Europe
385,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,1.6,Figure from international organizations,Europe
386,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,1.6,Figure from international organizations,Europe
387,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,1.6,Figure from international organizations,Europe
388,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,1.4,Figure from international organizations,Europe
389,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,1.4,Figure from international organizations,Europe
390,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,1.4,Figure from international organizations,Europe
391,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,1.3,Figure from international organizations,Europe
392,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,1.3,Figure from international organizations,Europe
393,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
394,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
395,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,1.3,Figure from international organizations,Europe
396,Germany,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
401,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,12.4,Figure from international organizations,Europe
402,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,12.3,Figure from international organizations,Europe
403,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,13.0,Figure from international organizations,Europe
404,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,13.7,Figure from international organizations,Europe
405,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,13.6,Figure from international organizations,Europe
406,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,12.9,Figure from international organizations,Europe
407,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,12.4,Figure from international organizations,Europe
408,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,12.1,Figure from international organizations,Europe
409,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,12.3,Figure from international organizations,Europe
410,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,11.6,Figure from international organizations,Europe
411,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,10.6,Figure from international organizations,Europe
412,Greece,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,11.4,Figure from international organizations,Europe
438,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,4.5,Figure from international organizations,Europe
439,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,4.9,Figure from international organizations,Europe
440,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,5.1,Figure from international organizations,Europe
441,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,4.8,Figure from international organizations,Europe
442,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,4.7,Figure from international organizations,Europe
443,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,4.9,Figure from international organizations,Europe
444,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,5.0,Figure from international organizations,Europe
445,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,5.0,Figure from international organizations,Europe
446,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,4.8,Figure from international organizations,Europe
447,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,4.7,Figure from international organizations,Europe
448,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,4.8,Figure from international organizations,Europe
449,Hungary,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,4.4,Figure from international organizations,Europe
450,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,5.5,Figure from international organizations,Europe
451,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,5.5,Figure from international organizations,Europe
452,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,5.5,Figure from international organizations,Europe
453,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,4.4,Figure from international organizations,Europe
454,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,4.5,Figure from international organizations,Europe
455,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,4.2,Figure from international organizations,Europe
456,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
457,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
458,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,4.0,Figure from international organizations,Europe
459,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,4.0,Figure from international organizations,Europe
460,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,4.1,Figure from international organizations,Europe
461,Iceland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,4.0,Figure from international organizations,Europe
462,India,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Household survey,%,51.5,Figure from international organizations,Asia
463,India,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Household survey,%,47.0,Figure from international organizations,Asia
464,India,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,43.3,Figure from international organizations,Asia
465,India,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,41.4,Figure from international organizations,Asia
466,India,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,44.3,Figure from international organizations,Asia
467,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,39.1,Figure from international organizations,Asia
468,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,37.2,Figure from international organizations,Asia
469,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,35.9,Figure from international organizations,Asia
470,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,35.0,Figure from international organizations,Asia
471,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,34.3,Figure from international organizations,Asia
472,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,33.0,Figure from international organizations,Asia
473,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,31.8,Figure from international organizations,Asia
474,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,30.8,Figure from international organizations,Asia
475,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,29.7,Figure from international organizations,Asia
476,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,28.7,Figure from international organizations,Asia
477,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,29.6,Figure from international organizations,Asia
478,Indonesia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,29.0,Figure from international organizations,Asia
479,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,5.7,Figure from international organizations,Europe
480,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,5.7,Figure from international organizations,Europe
481,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,5.8,Figure from international organizations,Europe
482,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,5.8,Figure from international organizations,Europe
483,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,5.4,Figure from international organizations,Europe
484,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,5.3,Figure from international organizations,Europe
485,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,5.3,Figure from international organizations,Europe
486,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,5.0,Figure from international organizations,Europe
487,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,4.8,Figure from international organizations,Europe
488,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,4.4,Figure from international organizations,Europe
489,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,4.5,Figure from international organizations,Europe
490,Ireland,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,4.5,Figure from international organizations,Europe
491,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,1.6,Figure from international organizations,Asia
492,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,1.4,Figure from international organizations,Asia
493,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,1.1,Figure from international organizations,Asia
494,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,1.2,Figure from international organizations,Asia
495,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,1.1,Figure from international organizations,Asia
496,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,1.0,Figure from international organizations,Asia
497,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,1.0,Figure from international organizations,Asia
498,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,1.0,Figure from international organizations,Asia
499,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,0.9,Figure from international organizations,Asia
500,Israel,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,0.9,Figure from international organizations,Asia
501,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
502,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,3.7,Figure from international organizations,Europe
503,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,3.7,Figure from international organizations,Europe
504,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,3.6,Figure from international organizations,Europe
505,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,3.6,Figure from international organizations,Europe
506,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
507,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
508,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
509,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,3.8,Figure from international organizations,Europe
510,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,3.9,Figure from international organizations,Europe
511,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,4.0,Figure from international organizations,Europe
512,Italy,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,4.1,Figure from international organizations,Europe
524,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,3.7,Figure from international organizations,Asia
525,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,3.8,Figure from international organizations,Asia
526,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,3.6,Figure from international organizations,Asia
527,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,3.5,Figure from international organizations,Asia
528,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,3.5,Figure from international organizations,Asia
529,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,3.4,Figure from international organizations,Asia
530,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,3.3,Figure from international organizations,Asia
531,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,3.4,Figure from international organizations,Asia
532,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,3.3,Figure from international organizations,Asia
533,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,3.2,Figure from international organizations,Asia
534,Japan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,3.1,Figure from international organizations,Asia
535,Jordan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,3.4,Figure from international organizations,Asia
536,Jordan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,3.7,Figure from international organizations,Asia
537,Jordan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,3.4,Figure from international organizations,Asia
538,Jordan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,3.3,Figure from international organizations,Asia
539,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,28.3,Figure from international organizations,Asia
540,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,26.5,Figure from international organizations,Asia
541,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,25.5,Figure from international organizations,Asia
542,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,24.2,Figure from international organizations,Asia
543,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,22.1,Figure from international organizations,Asia
544,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,18.0,Figure from international organizations,Asia
545,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,16.2,Figure from international organizations,Asia
546,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,15.4,Figure from international organizations,Asia
547,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,14.2,Figure from international organizations,Asia
548,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,13.7,Figure from international organizations,Asia
549,Kazakhstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,13.5,Figure from international organizations,Asia
554,Kuwait,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,0.1,Figure from international organizations,Asia
555,Kuwait,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Official estimates,%,2.2,Figure from international organizations,Asia
556,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,30.1,Figure from international organizations,Asia
557,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,31.7,Figure from international organizations,Asia
558,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,31.6,Figure from international organizations,Asia
559,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,29.3,Figure from international organizations,Asia
560,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,26.8,Figure from international organizations,Asia
561,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,23.0,Figure from international organizations,Asia
562,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,20.4,Figure from international organizations,Asia
563,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,18.1,Figure from international organizations,Asia
564,Kyrgyzstan,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,17.2,Figure from international organizations,Asia
565,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,8.6,Figure from international organizations,Europe
566,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,8.9,Figure from international organizations,Europe
567,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,8.4,Figure from international organizations,Europe
568,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,8.0,Figure from international organizations,Europe
569,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,7.5,Figure from international organizations,Europe
570,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,7.9,Figure from international organizations,Europe
571,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,7.7,Figure from international organizations,Europe
572,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,6.9,Figure from international organizations,Europe
573,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,7.0,Figure from international organizations,Europe
574,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,7.3,Figure from international organizations,Europe
575,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,7.2,Figure from international organizations,Europe
576,Latvia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,6.8,Figure from international organizations,Europe
577,Lebanon,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,3.8,Figure from international organizations,Asia
581,Liechtenstein,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Administrative records,%,1.1,Figure from international organizations,Europe
582,Liechtenstein,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Administrative records,%,1.1,Figure from international organizations,Europe
583,Liechtenstein,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Administrative records,%,1.1,Figure from international organizations,Europe
584,Liechtenstein,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Administrative records,%,1.1,Figure from international organizations,Europe
585,Liechtenstein,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Administrative records,%,1.1,Figure from international organizations,Europe
586,Liechtenstein,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Administrative records,%,1.1,Figure from international organizations,Europe
587,Liechtenstein,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Administrative records,%,1.1,Figure from international organizations,Europe
588,Liechtenstein,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Administrative records,%,1.0,Figure from international organizations,Europe
589,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,8.8,Figure from international organizations,Europe
590,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,8.5,Figure from international organizations,Europe
591,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,8.8,Figure from international organizations,Europe
592,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,8.4,Figure from international organizations,Europe
593,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,9.2,Figure from international organizations,Europe
594,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,9.1,Figure from international organizations,Europe
595,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,8.0,Figure from international organizations,Europe
596,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,7.8,Figure from international organizations,Europe
597,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,7.2,Figure from international organizations,Europe
598,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,6.4,Figure from international organizations,Europe
599,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,5.7,Figure from international organizations,Europe
600,Lithuania,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,5.3,Figure from international organizations,Europe
601,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,1.0,Figure from international organizations,Europe
602,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
603,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,1.3,Figure from international organizations,Europe
604,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,1.6,Figure from international organizations,Europe
605,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,1.4,Figure from international organizations,Europe
606,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,1.0,Figure from international organizations,Europe
607,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,0.9,Figure from international organizations,Europe
608,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,1.1,Figure from international organizations,Europe
609,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,1.0,Figure from international organizations,Europe
610,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,0.6,Figure from international organizations,Europe
611,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,0.7,Figure from international organizations,Europe
612,Luxembourg,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,1.1,Figure from international organizations,Europe
616,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,13.2,Figure from international organizations,Asia
617,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,8.2,Figure from international organizations,Asia
618,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,13.2,Figure from international organizations,Asia
619,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,12.6,Figure from international organizations,Asia
620,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,12.5,Figure from international organizations,Asia
621,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,11.4,Figure from international organizations,Asia
622,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,11.3,Figure from international organizations,Asia
623,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,10.6,Figure from international organizations,Asia
624,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,10.2,Figure from international organizations,Asia
625,Malaysia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,10.5,Figure from international organizations,Asia
626,Maldives,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Household income and expenditure survey,%,8.9,Figure from international organizations,Asia
627,Maldives,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Household income and expenditure survey,%,22.0,Figure from international organizations,Asia
628,Maldives,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Population census,%,8.0,Figure from international organizations,Asia
636,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,1.4,Figure from international organizations,Europe
637,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,1.1,Figure from international organizations,Europe
638,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2012,Value,Labour force survey,%,1.0,Figure from international organizations,Europe
639,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2013,Value,Labour force survey,%,1.3,Figure from international organizations,Europe
640,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2014,Value,Labour force survey,%,1.3,Figure from international organizations,Europe
641,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2015,Value,Labour force survey,%,1.5,Figure from international organizations,Europe
642,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2016,Value,Labour force survey,%,1.2,Figure from international organizations,Europe
643,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2017,Value,Labour force survey,%,1.0,Figure from international organizations,Europe
644,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2018,Value,Labour force survey,%,1.0,Figure from international organizations,Europe
645,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2019,Value,Labour force survey,%,1.0,Figure from international organizations,Europe
646,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2020,Value,Labour force survey,%,1.1,Figure from international organizations,Europe
647,Malta,"Share of employment in agriculture, forestry and fishing in total employment",Total,2021,Value,Labour force survey,%,0.9,Figure from international organizations,Europe
674,Mongolia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2010,Value,Labour force survey,%,33.5,Figure from international organizations,Asia
675,Mongolia,"Share of employment in agriculture, forestry and fishing in total employment",Total,2011,Value,Labour force survey,%,33.0,Figure from international organizations,Asia
